dataset,policy,rep,seed_split,seed_cv,seed_opt,cv_best,test_acc,evals_to_99pct,final_curve_value
diabetes,spiral,12,12,42,12,0.7816606690657071,0.7597402597402597,7,0.7816606690657071
diabetes,spiral,13,13,42,13,0.7720111955217913,0.8181818181818182,1,0.7720111955217913
diabetes,spiral,14,14,42,14,0.7735039317606291,0.7922077922077922,1,0.7735039317606291
diabetes,spiral,15,15,42,15,0.7638811142209783,0.8051948051948052,9,0.7638811142209783
diabetes,spiral,16,16,42,16,0.7800879648140744,0.7662337662337663,7,0.7800879648140744
diabetes,spiral,17,17,42,17,0.7671864587498334,0.8181818181818182,10,0.7671864587498334
diabetes,spiral,18,18,42,18,0.7703585232573638,0.7987012987012987,13,0.7703585232573638
diabetes,spiral,19,19,42,19,0.7801546048247368,0.7987012987012987,7,0.7801546048247368
diabetes,spiral,20,20,42,20,0.7703985072637611,0.7792207792207793,1,0.7703985072637611
diabetes,spiral,21,21,42,21,0.7850726376116219,0.7337662337662337,1,0.7850726376116219
diabetes,spiral,22,22,42,22,0.7703318672530988,0.7532467532467533,1,0.7703318672530988
diabetes,spiral,23,23,42,23,0.7720111955217913,0.7987012987012987,1,0.7720111955217913
diabetes,spiral,24,24,42,24,0.7671331467413034,0.7727272727272727,1,0.7671331467413034
diabetes,spiral,25,25,42,25,0.7687458349993337,0.7792207792207793,13,0.7687458349993337
diabetes,spiral,26,26,42,26,0.785072637611622,0.7727272727272727,1,0.785072637611622
diabetes,spiral,27,27,42,27,0.7769558843129414,0.7792207792207793,13,0.7769558843129414
diabetes,spiral,28,28,42,28,0.7736505397840864,0.7402597402597403,11,0.7736505397840864
diabetes,spiral,29,29,42,29,0.7768892443022791,0.7597402597402597,1,0.7768892443022791
diabetes,random,0,0,42,0,0.7736638677862189,0.7987012987012987,11,0.7736638677862189
diabetes,random,1,1,42,1,0.780021324803412,0.7597402597402597,1,0.780021324803412
diabetes,random,2,2,42,2,0.757270425163268,0.8051948051948052,4,0.757270425163268
diabetes,random,3,3,42,3,0.7818339330934293,0.7532467532467533,8,0.7818339330934293
diabetes,random,4,4,42,4,0.7703985072637611,0.7987012987012987,6,0.7703985072637611
diabetes,random,5,5,42,5,0.7703718512594963,0.7792207792207793,10,0.7703718512594963
diabetes,random,6,6,42,6,0.783379981340797,0.7402597402597403,2,0.783379981340797
