dataset,policy,rep,seed_split,seed_cv,seed_opt,cv_best,test_acc,evals_to_99pct,final_curve_value
breast-w,col_major,17,17,42,17,0.9713963963963964,0.9571428571428572,6,0.9713963963963964
breast-w,col_major,18,18,42,18,0.9678410553410555,0.95,6,0.9678410553410555
breast-w,col_major,19,19,42,19,0.9641891891891892,0.9857142857142858,6,0.9641891891891892
breast-w,col_major,20,20,42,20,0.9678249678249677,0.9785714285714285,6,0.9678249678249677
breast-w,col_major,21,21,42,21,0.9677767052767052,0.9785714285714285,6,0.9677767052767052
breast-w,col_major,22,22,42,22,0.9677767052767052,0.9642857142857143,6,0.9677767052767052
breast-w,col_major,23,23,42,23,0.9713963963963964,0.9642857142857143,6,0.9713963963963964
breast-w,col_major,24,24,42,24,0.9731660231660232,0.9571428571428572,6,0.9731660231660232
breast-w,col_major,25,25,42,25,0.971380308880309,0.9642857142857143,6,0.971380308880309
breast-w,col_major,26,26,42,26,0.9713159588159588,0.9642857142857143,6,0.9713159588159588
breast-w,col_major,27,27,42,27,0.9695785070785071,0.9571428571428572,6,0.9695785070785071
breast-w,col_major,28,28,42,28,0.9767535392535394,0.9428571428571428,7,0.9767535392535394
breast-w,col_major,29,29,42,29,0.9696267696267695,0.9642857142857143,6,0.9696267696267695
breast-w,spiral,0,0,42,0,0.971380308880309,0.9642857142857143,1,0.971380308880309
breast-w,spiral,1,1,42,1,0.9767535392535394,0.95,1,0.9767535392535394
breast-w,spiral,2,2,42,2,0.9678088803088803,0.9714285714285714,1,0.9678088803088803
breast-w,spiral,3,3,42,3,0.9803410553410552,0.9285714285714286,1,0.9803410553410552
breast-w,spiral,4,4,42,4,0.97493564993565,0.95,1,0.97493564993565
breast-w,spiral,5,5,42,5,0.9731660231660232,0.9571428571428572,1,0.9731660231660232
breast-w,spiral,6,6,42,6,0.9695785070785071,0.9642857142857143,1,0.9695785070785071
breast-w,spiral,7,7,42,7,0.9660070785070787,0.9785714285714285,1,0.9660070785070787
breast-w,spiral,8,8,42,8,0.9713963963963964,0.9571428571428572,1,0.9713963963963964
breast-w,spiral,9,9,42,9,0.9731660231660232,0.9571428571428572,1,0.9731660231660232
breast-w,spiral,10,10,42,10,0.9749195624195626,0.9571428571428572,1,0.9749195624195626
breast-w,spiral,11,11,42,11,0.9749195624195626,0.9428571428571428,1,0.9749195624195626
breast-w,spiral,12,12,42,12,0.9695785070785071,0.95,1,0.9695785070785071
breast-w,spiral,13,13,42,13,0.9731660231660232,0.9571428571428572,1,0.9731660231660232
breast-w,spiral,14,14,42,14,0.9677606177606177,0.9571428571428572,1,0.9677606177606177
breast-w,spiral,15,15,42,15,0.965990990990991,0.9714285714285714,1,0.965990990990991
breast-w,spiral,16,16,42,16,0.9731821106821107,0.9571428571428572,1,0.9731821106821107
breast-w,spiral,17,17,42,17,0.9713963963963964,0.9571428571428572,1,0.9713963963963964
breast-w,spiral,18,18,42,18,0.9678410553410555,0.95,1,0.9678410553410555
breast-w,spiral,19,19,42,19,0.9641891891891892,0.9928571428571429,1,0.9641891891891892
breast-w,spiral,20,20,42,20,0.9678249678249677,0.9785714285714285,1,0.9678249678249677
breast-w,spiral,21,21,42,21,0.9677767052767052,0.9714285714285714,1,0.9677767052767052
breast-w,spiral,22,22,42,22,0.9677767052767052,0.9642857142857143,1,0.9677767052767052
breast-w,spiral,23,23,42,23,0.9713963963963964,0.9642857142857143,1,0.9713963963963964
breast-w,spiral,24,24,42,24,0.9731660231660232,0.9571428571428572,1,0.9731660231660232
breast-w,spiral,25,25,42,25,0.971380308880309,0.9642857142857143,1,0.971380308880309
breast-w,spiral,26,26,42,26,0.9713159588159588,0.9642857142857143,1,0.9713159588159588
breast-w,spiral,27,27,42,27,0.9695785070785071,0.9642857142857143,1,0.9695785070785071
breast-w,spiral,28,28,42,28,0.9767535392535394,0.9428571428571428,1,0.9767535392535394
breast-w,spiral,29,29,42,29,0.9696267696267695,0.9642857142857143,1,0.9696267696267695
breast-w,random,0,0,42,0,0.971380308880309,0.9642857142857143,1,0.971380308880309
breast-w,random,1,1,42,1,0.9767535392535394,0.95,1,0.9767535392535394
breast-w,random,2,2,42,2,0.9678088803088803,0.9714285714285714,4,0.9678088803088803
breast-w,random,3,3,42,3,0.9803410553410552,0.9285714285714286,3,0.9803410553410552
breast-w,random,4,4,42,4,0.97493564993565,0.95,4,0.97493564993565
breast-w,random,5,5,42,5,0.9731660231660232,0.9571428571428572,2,0.9731660231660232
breast-w,random,6,6,42,6,0.9695785070785071,0.9642857142857143,2,0.9695785070785071
breast-w,random,7,7,42,7,0.9660070785070787,0.9785714285714285,2,0.9660070785070787
breast-w,random,8,8,42,8,0.9713963963963964,0.9571428571428572,2,0.9713963963963964
breast-w,random,9,9,42,9,0.9731660231660232,0.9428571428571428,2,0.9731660231660232
breast-w,random,10,10,42,10,0.9749195624195626,0.9571428571428572,3,0.9749195624195626
breast-w,random,11,11,42,11,0.9749195624195626,0.9428571428571428,5,0.9749195624195626
breast-w,random,12,12,42,12,0.9695785070785071,0.95,2,0.9695785070785071
breast-w,random,13,13,42,13,0.9731660231660232,0.9571428571428572,2,0.9731660231660232
breast-w,random,14,14,42,14,0.9677606177606177,0.9642857142857143,1,0.9677606177606177
breast-w,random,15,15,42,15,0.965990990990991,0.9714285714285714,4,0.965990990990991
breast-w,random,16,16,42,16,0.9731821106821107,0.95,2,0.9731821106821107
breast-w,random,17,17,42,17,0.9713963963963964,0.9571428571428572,1,0.9713963963963964
breast-w,random,18,18,42,18,0.9678410553410555,0.95,1,0.9678410553410555
breast-w,random,19,19,42,19,0.9641891891891892,0.9928571428571429,2,0.9641891891891892
breast-w,random,20,20,42,20,0.9678249678249677,0.9785714285714285,1,0.9678249678249677
breast-w,random,21,21,42,21,0.9677767052767052,0.9714285714285714,1,0.9677767052767052
breast-w,random,22,22,42,22,0.9677767052767052,0.9642857142857143,3,0.9677767052767052
breast-w,random,23,23,42,23,0.9713963963963964,0.9642857142857143,1,0.9713963963963964
breast-w,random,24,24,42,24,0.9731660231660232,0.9571428571428572,1,0.9731660231660232
breast-w,random,25,25,42,25,0.971380308880309,0.9642857142857143,1,0.971380308880309
breast-w,random,26,26,42,26,0.9713159588159588,0.9642857142857143,4,0.9713159588159588
breast-w,random,27,27,42,27,0.9695785070785071,0.9642857142857143,3,0.9695785070785071
breast-w,random,28,28,42,28,0.9767535392535394,0.9428571428571428,1,0.9767535392535394
breast-w,random,29,29,42,29,0.9696267696267695,0.9642857142857143,6,0.9696267696267695
vehicle,row_major,0,0,42,0,0.8550980392156863,0.8411764705882353,75,0.8550980392156863
vehicle,row_major,1,1,42,1,0.8491394335511983,0.8352941176470589,75,0.8491394335511983
vehicle,row_major,2,2,42,2,0.847636165577342,0.8470588235294118,94,0.847636165577342
vehicle,row_major,3,3,42,3,0.8401742919389978,0.8529411764705882,56,0.8401742919389978
vehicle,row_major,4,4,42,4,0.8564596949891067,0.7647058823529411,66,0.8564596949891067
vehicle,row_major,5,5,42,5,0.8550108932461875,0.8176470588235294,75,0.8550108932461875
vehicle,row_major,6,6,42,6,0.8447167755991286,0.8411764705882353,65,0.8447167755991286
vehicle,row_major,7,7,42,7,0.8416557734204794,0.8235294117647058,56,0.8416557734204794
vehicle,row_major,8,8,42,8,0.8416884531590414,0.8764705882352941,75,0.8416884531590414
vehicle,row_major,9,9,42,9,0.8535511982570807,0.8588235294117647,65,0.8535511982570807
vehicle,row_major,10,10,42,10,0.8550217864923748,0.8470588235294118,56,0.8550217864923748
vehicle,row_major,11,11,42,11,0.8595098039215687,0.8529411764705882,46,0.8595098039215687
vehicle,row_major,12,12,42,12,0.8520261437908496,0.8352941176470589,75,0.8520261437908496
vehicle,row_major,13,13,42,13,0.8446732026143792,0.8470588235294118,55,0.8446732026143792
vehicle,row_major,14,14,42,14,0.8343137254901961,0.8647058823529412,65,0.8343137254901961
vehicle,row_major,15,15,42,15,0.8506100217864923,0.8117647058823529,56,0.8506100217864923
vehicle,row_major,16,16,42,16,0.843202614379085,0.8823529411764706,85,0.843202614379085
vehicle,row_major,17,17,42,17,0.8535729847494554,0.8294117647058824,56,0.8535729847494554
vehicle,row_major,18,18,42,18,0.8417102396514162,0.8529411764705882,75,0.8417102396514162
vehicle,row_major,19,19,42,19,0.849193899782135,0.8470588235294118,65,0.849193899782135
vehicle,row_major,20,20,42,20,0.838769063180828,0.8352941176470589,56,0.838769063180828
vehicle,row_major,21,21,42,21,0.846165577342048,0.8529411764705882,56,0.846165577342048
vehicle,row_major,22,22,42,22,0.8447167755991286,0.8705882352941177,75,0.8447167755991286
vehicle,row_major,23,23,42,23,0.8521132897603486,0.8647058823529412,66,0.8521132897603486
vehicle,row_major,24,24,42,24,0.8609586056644881,0.8588235294117647,94,0.8609586056644881
vehicle,row_major,25,25,42,25,0.8505773420479302,0.8294117647058824,56,0.8505773420479302
vehicle,row_major,26,26,42,26,0.8505337690631809,0.8470588235294118,56,0.8505337690631809
vehicle,row_major,27,27,42,27,0.8579956427015251,0.8058823529411765,56,0.8579956427015251
vehicle,row_major,28,28,42,28,0.8476143790849673,0.8352941176470589,56,0.8476143790849673
vehicle,row_major,29,29,42,29,0.8313725490196078,0.888235294117647,56,0.8313725490196078
vehicle,col_major,0,0,42,0,0.8550980392156863,0.8411764705882353,48,0.8550980392156863
vehicle,col_major,1,1,42,1,0.8491394335511983,0.8352941176470589,48,0.8491394335511983
vehicle,col_major,2,2,42,2,0.847636165577342,0.8470588235294118,40,0.847636165577342
vehicle,col_major,3,3,42,3,0.8401742919389978,0.8529411764705882,30,0.8401742919389978
vehicle,col_major,4,4,42,4,0.8564596949891067,0.7647058823529411,48,0.8564596949891067
vehicle,col_major,5,5,42,5,0.8550108932461875,0.8176470588235294,40,0.8550108932461875
vehicle,col_major,6,6,42,6,0.8447167755991286,0.8411764705882353,38,0.8447167755991286
vehicle,col_major,7,7,42,7,0.8416557734204794,0.8235294117647058,48,0.8416557734204794
vehicle,col_major,8,8,42,8,0.8416884531590414,0.8764705882352941,40,0.8416884531590414
vehicle,col_major,9,9,42,9,0.8535511982570807,0.8588235294117647,38,0.8535511982570807
vehicle,col_major,10,10,42,10,0.8550217864923748,0.8470588235294118,39,0.8550217864923748
vehicle,col_major,11,11,42,11,0.8595098039215687,0.8529411764705882,40,0.8595098039215687
vehicle,col_major,12,12,42,12,0.8520261437908496,0.8352941176470589,40,0.8520261437908496
vehicle,col_major,13,13,42,13,0.8446732026143792,0.8470588235294118,30,0.8446732026143792
vehicle,col_major,14,14,42,14,0.8343137254901961,0.8647058823529412,30,0.8343137254901961
vehicle,col_major,15,15,42,15,0.8506100217864923,0.8117647058823529,47,0.8506100217864923
vehicle,col_major,16,16,42,16,0.843202614379085,0.8823529411764706,40,0.843202614379085
vehicle,col_major,17,17,42,17,0.8535729847494554,0.8294117647058824,38,0.8535729847494554
vehicle,col_major,18,18,42,18,0.8417102396514162,0.8529411764705882,40,0.8417102396514162
vehicle,col_major,19,19,42,19,0.849193899782135,0.8470588235294118,47,0.849193899782135
vehicle,col_major,20,20,42,20,0.838769063180828,0.8352941176470589,38,0.838769063180828
vehicle,col_major,21,21,42,21,0.846165577342048,0.8529411764705882,39,0.846165577342048
vehicle,col_major,22,22,42,22,0.8447167755991286,0.8705882352941177,40,0.8447167755991286
vehicle,col_major,23,23,42,23,0.8521132897603486,0.8647058823529412,48,0.8521132897603486
vehicle,col_major,24,24,42,24,0.8609586056644881,0.8588235294117647,40,0.8609586056644881
vehicle,col_major,25,25,42,25,0.8505773420479302,0.8294117647058824,40,0.8505773420479302
vehicle,col_major,26,26,42,26,0.8505337690631809,0.8470588235294118,39,0.8505337690631809
vehicle,col_major,27,27,42,27,0.8579956427015251,0.8058823529411765,40,0.8579956427015251
vehicle,col_major,28,28,42,28,0.8476143790849673,0.8352941176470589,39,0.8476143790849673
vehicle,col_major,29,29,42,29,0.8313725490196078,0.888235294117647,56,0.8313725490196078
vehicle,spiral,0,0,42,0,0.8550980392156863,0.8411764705882353,23,0.8550980392156863
vehicle,spiral,1,1,42,1,0.8491394335511983,0.8352941176470589,23,0.8491394335511983
vehicle,spiral,2,2,42,2,0.847636165577342,0.8470588235294118,75,0.847636165577342
