dataset,optimizer,seed,eval,best_so_far
qsar-biodeg,bo_tpe,0,9,0.8886376444068752
qsar-biodeg,bo_tpe,0,10,0.8886376444068752
qsar-biodeg,bo_tpe,0,11,0.8886376444068752
qsar-biodeg,bo_tpe,0,12,0.8886376444068752
qsar-biodeg,bo_tpe,0,13,0.8886376444068752
qsar-biodeg,bo_tpe,0,14,0.8886376444068752
qsar-biodeg,bo_tpe,0,15,0.8886376444068752
qsar-biodeg,bo_tpe,0,16,0.8886376444068752
qsar-biodeg,bo_tpe,0,17,0.8886376444068752
qsar-biodeg,bo_tpe,0,18,0.8886376444068752
qsar-biodeg,bo_tpe,0,19,0.8921949845026769
qsar-biodeg,bo_tpe,0,20,0.8921949845026769
qsar-biodeg,bo_tpe,0,21,0.8921949845026769
qsar-biodeg,bo_tpe,0,22,0.8921949845026769
qsar-biodeg,bo_tpe,0,23,0.8921949845026769
qsar-biodeg,bo_tpe,0,24,0.8921949845026769
qsar-biodeg,bo_tpe,0,25,0.8921949845026769
qsar-biodeg,bo_tpe,0,26,0.8921949845026769
qsar-biodeg,bo_tpe,0,27,0.8921949845026769
qsar-biodeg,bo_tpe,0,28,0.8921949845026769
qsar-biodeg,bo_tpe,0,29,0.8921949845026769
qsar-biodeg,bo_tpe,0,30,0.8921949845026769
qsar-biodeg,bo_tpe,0,31,0.8921949845026769
qsar-biodeg,bo_tpe,0,32,0.8921949845026769
qsar-biodeg,bo_tpe,0,33,0.8921949845026769
qsar-biodeg,bo_tpe,0,34,0.8921949845026769
qsar-biodeg,bo_tpe,0,35,0.8921949845026769
qsar-biodeg,bo_tpe,0,36,0.8921949845026769
qsar-biodeg,bo_tpe,0,37,0.8922231614539307
qsar-biodeg,bo_tpe,0,38,0.8922231614539307
qsar-biodeg,bo_tpe,0,39,0.8922231614539307
qsar-biodeg,bo_tpe,0,40,0.8922231614539307
qsar-biodeg,bo_tpe,0,41,0.8922231614539307
qsar-biodeg,bo_tpe,0,42,0.8922231614539307
qsar-biodeg,bo_tpe,0,43,0.8945829811214427
qsar-biodeg,bo_tpe,0,44,0.8945829811214427
qsar-biodeg,bo_tpe,0,45,0.8945829811214427
qsar-biodeg,bo_tpe,0,46,0.8945829811214427
qsar-biodeg,bo_tpe,0,47,0.8945829811214427
qsar-biodeg,bo_tpe,0,48,0.8945829811214427
qsar-biodeg,bo_tpe,0,49,0.8945829811214427
qsar-biodeg,bo_tpe,0,50,0.8957734573119188
qsar-biodeg,bo_tpe,0,51,0.8957734573119188
qsar-biodeg,bo_tpe,0,52,0.8993167089320936
qsar-biodeg,bo_tpe,0,53,0.8993167089320936
qsar-biodeg,bo_tpe,0,54,0.8993167089320936
qsar-biodeg,bo_tpe,0,55,0.8993167089320936
qsar-biodeg,bo_tpe,0,56,0.8993167089320936
qsar-biodeg,bo_tpe,0,57,0.8993167089320936
qsar-biodeg,bo_tpe,0,58,0.8993167089320936
qsar-biodeg,bo_tpe,0,59,0.8993167089320936
qsar-biodeg,bo_tpe,0,60,0.8993167089320936
qsar-biodeg,bo_tpe,0,61,0.8993167089320936
qsar-biodeg,bo_tpe,0,62,0.8993167089320936
qsar-biodeg,bo_tpe,0,63,0.8993167089320936
qsar-biodeg,bo_tpe,0,64,0.9005001408847564
qsar-biodeg,bo_tpe,0,65,0.9005001408847564
qsar-biodeg,bo_tpe,0,66,0.9005001408847564
qsar-biodeg,bo_tpe,0,67,0.9005001408847564
qsar-biodeg,bo_tpe,0,68,0.9005001408847564
qsar-biodeg,bo_tpe,0,69,0.9005001408847564
qsar-biodeg,bo_tpe,0,70,0.9005001408847564
qsar-biodeg,bo_tpe,0,71,0.9005001408847564
qsar-biodeg,bo_tpe,0,72,0.9005001408847564
qsar-biodeg,bo_tpe,0,73,0.9005001408847564
qsar-biodeg,bo_tpe,0,74,0.9005001408847564
qsar-biodeg,bo_tpe,0,75,0.9005001408847564
qsar-biodeg,bo_tpe,0,76,0.9005001408847564
qsar-biodeg,bo_tpe,0,77,0.9005001408847564
qsar-biodeg,bo_tpe,0,78,0.9005001408847564
qsar-biodeg,bo_tpe,0,79,0.9005001408847564
qsar-biodeg,bo_tpe,0,80,0.9005001408847564
qsar-biodeg,bo_tpe,0,81,0.9005001408847564
qsar-biodeg,bo_tpe,0,82,0.9005001408847564
qsar-biodeg,bo_tpe,0,83,0.9005001408847564
qsar-biodeg,bo_tpe,0,84,0.9005001408847564
qsar-biodeg,bo_tpe,0,85,0.9005001408847564
qsar-biodeg,bo_tpe,0,86,0.9005001408847564
qsar-biodeg,bo_tpe,0,87,0.9005001408847564
qsar-biodeg,bo_tpe,0,88,0.9005001408847564
qsar-biodeg,bo_tpe,0,89,0.9005001408847564
qsar-biodeg,bo_tpe,0,90,0.9005071851225697
qsar-biodeg,bo_tpe,0,91,0.9005071851225697
qsar-biodeg,bo_tpe,0,92,0.9005071851225697
qsar-biodeg,bo_tpe,0,93,0.9005071851225697
qsar-biodeg,bo_tpe,0,94,0.9005071851225697
qsar-biodeg,bo_tpe,0,95,0.9005071851225697
qsar-biodeg,bo_tpe,0,96,0.9005071851225697
qsar-biodeg,bo_tpe,0,97,0.9005071851225697
qsar-biodeg,bo_tpe,0,98,0.9005071851225697
qsar-biodeg,bo_tpe,0,99,0.9005071851225697
qsar-biodeg,bo_tpe,0,100,0.9005071851225697
qsar-biodeg,pso,0,1,0.8709002535925613
qsar-biodeg,pso,0,2,0.8709002535925613
qsar-biodeg,pso,0,3,0.8709002535925613
qsar-biodeg,pso,0,4,0.8709002535925613
qsar-biodeg,pso,0,5,0.8709002535925613
qsar-biodeg,pso,0,6,0.8709002535925613
qsar-biodeg,pso,0,7,0.8709002535925613
qsar-biodeg,pso,0,8,0.8709002535925613
qsar-biodeg,pso,0,9,0.8709002535925613
qsar-biodeg,pso,0,10,0.8768174133558748
qsar-biodeg,pso,0,11,0.8768174133558748
qsar-biodeg,pso,0,12,0.8768174133558748
qsar-biodeg,pso,0,13,0.8768174133558748
qsar-biodeg,pso,0,14,0.8768315018315018
qsar-biodeg,pso,0,15,0.8768315018315018
qsar-biodeg,pso,0,16,0.8839320935474781
qsar-biodeg,pso,0,17,0.8839320935474781
qsar-biodeg,pso,0,18,0.8839320935474781
qsar-biodeg,pso,0,19,0.8839320935474781
qsar-biodeg,pso,0,20,0.8839320935474781
qsar-biodeg,pso,0,21,0.8839320935474781
qsar-biodeg,pso,0,22,0.8839320935474781
qsar-biodeg,pso,0,23,0.8839320935474781
qsar-biodeg,pso,0,24,0.8839320935474781
qsar-biodeg,pso,0,25,0.8839320935474781
qsar-biodeg,pso,0,26,0.8839320935474781
