optimizer,dataset,var_split_S,var_cv_F,var_opt_O,share_split_S,share_cv_F,share_opt_O
pso,vehicle,0.0005975420594201166,6.904506224396419e-05,6.319850455395107e-05,0.8187912147800976,0.09461006049375956,0.08659872472614279
pso,wdbc,0.00011002501211690266,6.155740227762409e-05,2.379158220212778e-05,0.5631507469443181,0.31507469443186975,0.12177455862381213
random,banknote,0.0,0.0,0.0,,,
random,breast-w,0.00018859957776213923,2.844241144733724e-05,1.3136288998358033e-05,0.8193630573248415,0.12356687898089054,0.057070063694267904
random,car,1.2721678854514905e-05,1.1475886013452219e-31,1.1475886013452219e-31,1.0,9.020732361420556e-27,9.020732361420556e-27
random,diabetes,0.0006644236491974967,0.0011944019557096138,1.72539805320817e-05,0.35415536438554357,0.6366478080033066,0.009196827611149835
random,ilpd,0.0009455532296675829,0.00015315594449104636,0.00011553869496692989,0.7787151649263534,0.1261323559919785,0.09515247908166814
random,ozone-8hr,6.564784396624032e-05,4.543165279592541e-06,2.982122957638149e-05,0.6563981042654038,0.04542609317714253,0.2981758025574537
random,qsar-biodeg,0.00036237580767128604,2.4397630254300687e-05,4.430299843003177e-05,0.8406300533029888,0.05659699347188105,0.10277295322513015
random,steel-faults,0.0005600942565044228,0.00016313041462364365,0.00011594443326575244,0.6674390817915201,0.19439516275028063,0.13816575545819923
random,vehicle,0.0005301276697291487,0.00015924909517559509,8.574951278685896e-05,0.6839242649699835,0.20544922776951072,0.11062650726050585
random,wdbc,0.00017343974980807536,3.5731595574942825e-05,3.263603655236114e-05,0.717264081931235,0.14776883686905698,0.13496708119970796
sa,banknote,0.0,0.0,0.0,,,
sa,breast-w,0.0001491907107670652,2.1639690358901786e-05,1.3136288998358032e-05,0.8109658909786432,0.11762830729996634,0.07140580172139045
sa,car,1.0417374760112222e-05,2.784367447403563e-07,1.1475886013452219e-31,0.9739676840215412,0.02603231597845871,1.0729327090558512e-26
sa,diabetes,0.0006320482025811188,0.0004616409117080862,6.66895427307431e-05,0.5446913373987137,0.3978364380586415,0.05747222454264483
sa,ilpd,0.0006646833643591677,8.430294312994002e-05,3.022814693902238e-05,0.8530172413793102,0.10818965517241391,0.03879310344827598
sa,ozone-8hr,5.1535413235537084e-05,3.36444641374561e-05,2.9177316387147904e-05,0.45065300696019367,0.29420505200594377,0.25514194103386245
sa,qsar-biodeg,0.0003647768442994866,2.5533604573019493e-05,4.079180508126475e-05,0.8461492394298717,0.05922865013774107,0.09462211043238725
sa,steel-faults,0.00048428677196614894,7.972698975087352e-05,0.00010832570511025247,0.7203009727384678,0.11858145131223645,0.16111757594929574
sa,vehicle,0.0005664001909080059,6.665871216640767e-05,6.140874199578394e-05,0.8155890269744007,0.09598533875493903,0.0884256342706602
sa,wdbc,0.0001787464224182154,4.634494079522286e-05,6.014228958158675e-05,0.6266666666666656,0.16248062015503942,0.21085271317829485
sh,banknote,1.101928374655648e-05,0.0,4.012539184952884e-06,0.7330637007077904,0.0,0.2669362992922097
sh,breast-w,0.00022783251231527177,5.100393783756542e-32,0.0002510555946516544,0.47575312270389447,1.065049164837329e-28,0.5242468772961055
sh,car,1.8088787141061238e-05,1.1137469789612547e-06,1.1475886013452219e-31,0.9420000000000026,0.0579999999999974,5.97623518944112e-27
sh,diabetes,0.0022052622701973362,0.0016333606682912554,0.0006176537300585666,0.4948665521066714,0.36653035477345397,0.13860309311987465
sh,ilpd,0.0015333227534819055,0.00034124219211162973,8.766162612316475e-05,0.7814198296889039,0.17390560143780234,0.04467456887329373
sh,ozone-8hr,7.981393412937981e-05,3.66180910182917e-05,4.650931306401962e-05,0.48983232251159403,0.22473174346167443,0.2854359340267315
sh,qsar-biodeg,0.0005257495687815667,0.00020088673122615217,1.5077477321176365e-05,0.7088307981482129,0.27084131017438784,0.02032789167739919
sh,steel-faults,0.0003919505212600118,3.075596241437583e-05,0.0001505819211910557,0.6836882063784399,0.05364832456640139,0.2626634690551588
sh,vehicle,0.0005802410213578328,0.00010404486338145766,4.2795211390844065e-05,0.7980416826213015,0.14309939281220907,0.058858924566489466
sh,wdbc,0.0001535397275200504,2.8302253920746786e-05,4.643338533872519e-05,0.6726075164664845,0.1239829523440532,0.20340953118946226
