dataset,optimizer,seed,eval,best_so_far
steel-faults,pso,0,18,0.7384047297998133
steel-faults,pso,0,19,0.7403464370915879
steel-faults,pso,0,20,0.7403464370915879
steel-faults,pso,0,21,0.7403464370915879
steel-faults,pso,0,22,0.7403464370915879
steel-faults,pso,0,23,0.7403464370915879
steel-faults,pso,0,24,0.7403464370915879
steel-faults,pso,0,25,0.7403464370915879
steel-faults,pso,0,26,0.7403464370915879
steel-faults,pso,0,27,0.7409895239083082
steel-faults,pso,0,28,0.7409895239083082
steel-faults,pso,0,29,0.7467710818379837
steel-faults,pso,0,30,0.7467710818379837
steel-faults,pso,0,31,0.7467710818379837
steel-faults,pso,0,32,0.7467710818379837
steel-faults,pso,0,33,0.7467710818379837
steel-faults,pso,0,34,0.7467710818379837
steel-faults,pso,0,35,0.7467710818379837
steel-faults,pso,0,36,0.7467710818379837
steel-faults,pso,0,37,0.7467710818379837
steel-faults,pso,0,38,0.7467710818379837
steel-faults,pso,0,39,0.7467710818379837
steel-faults,pso,0,40,0.7467710818379837
steel-faults,pso,0,41,0.7467710818379837
steel-faults,pso,0,42,0.7467710818379837
steel-faults,pso,0,43,0.7467710818379837
steel-faults,pso,0,44,0.7467710818379837
steel-faults,pso,0,45,0.7467710818379837
steel-faults,pso,0,46,0.7487252359713723
steel-faults,pso,0,47,0.7487252359713723
steel-faults,pso,0,48,0.7487252359713723
steel-faults,pso,0,49,0.7487252359713723
steel-faults,pso,0,50,0.7487252359713723
steel-faults,pso,0,51,0.7487252359713723
steel-faults,pso,0,52,0.7487252359713723
steel-faults,pso,0,53,0.7487252359713723
steel-faults,pso,0,54,0.7487252359713723
steel-faults,pso,0,55,0.7487252359713723
steel-faults,pso,0,56,0.7487252359713723
steel-faults,pso,0,57,0.7487252359713723
steel-faults,pso,0,58,0.7487252359713723
steel-faults,pso,0,59,0.7487252359713723
steel-faults,pso,0,60,0.7487252359713723
steel-faults,pso,0,61,0.7487252359713723
steel-faults,pso,0,62,0.7487252359713723
steel-faults,pso,0,63,0.7493724717352971
steel-faults,pso,0,64,0.7493724717352971
steel-faults,pso,0,65,0.7493724717352971
steel-faults,pso,0,66,0.7493724717352971
steel-faults,pso,0,67,0.7493724717352971
steel-faults,pso,0,68,0.7493724717352971
steel-faults,pso,0,69,0.7493724717352971
steel-faults,pso,0,70,0.7506379006327145
steel-faults,pso,0,71,0.7506379006327145
steel-faults,pso,0,72,0.7506379006327145
steel-faults,pso,0,73,0.7506379006327145
steel-faults,pso,0,74,0.7506379006327145
steel-faults,pso,0,75,0.7506379006327145
steel-faults,pso,0,76,0.7506379006327145
steel-faults,pso,0,77,0.7506379006327145
steel-faults,pso,0,78,0.7506379006327145
steel-faults,pso,0,79,0.751301732185458
steel-faults,pso,0,80,0.751301732185458
steel-faults,pso,0,81,0.751301732185458
steel-faults,pso,0,82,0.7525733845036822
steel-faults,pso,0,83,0.7525733845036822
steel-faults,pso,0,84,0.7525733845036822
steel-faults,pso,0,85,0.7525733845036822
steel-faults,pso,0,86,0.7525733845036822
